datetime,equity,position,close
2024-02-01 04:00:00,100000.0,0,42547.56659612365
2024-02-01 08:00:00,100000.0,0,42526.993987649555
2024-02-01 12:00:00,100000.0,0,42523.89704531728
2024-02-01 16:00:00,100000.0,0,42509.20596129212
2024-02-01 20:00:00,100000.0,0,42499.995934515166
2024-02-02 00:00:00,100000.0,0,42512.97090883915
2024-02-02 04:00:00,100000.0,0,43009.696417170184
2024-02-02 08:00:00,100000.0,0,42508.80224062906
2024-02-02 12:00:00,100000.0,0,43385.712968303764
2024-02-02 16:00:00,100000.0,0,43538.23384649358
2024-02-02 20:00:00,100000.0,0,43470.26218487262
2024-02-03 00:00:00,100000.0,0,43671.519886977985
2024-02-03 04:00:00,100000.0,0,43861.038055721074
2024-02-03 08:00:00,100000.0,1,43968.875349175396
2024-02-03 12:00:00,100339.95773709512,1,44126.218079347214
2024-02-03 16:00:00,101403.7354551444,1,44618.56660444342
2024-02-03 20:00:00,100381.3826213407,1,44145.390769576145
2024-02-04 00:00:00,100558.69487939242,1,44227.45624928306
2024-02-04 04:00:00,101292.23186112409,1,44566.959366270115
2024-02-04 08:00:00,101382.57173089181,1,44608.771392300405
2024-02-04 12:00:00,101670.89846103101,1,44742.21772974594
2024-02-04 16:00:00,101581.48392382148,1,44700.83397563046
2024-02-04 20:00:00,102371.56714890887,1,45066.508405518274
2024-02-05 00:00:00,103964.35669472402,1,45803.69961601739
2024-02-05 04:00:00,103277.54948417276,1,45485.82445149483
2024-02-05 08:00:00,102787.88406566094,1,45259.192475185904
2024-02-05 12:00:00,104328.68896938008,1,45972.32361991248
2024-02-05 16:00:00,104820.19930308168,1,46199.80947881098
2024-02-05 20:00:00,104265.54297727735,1,45943.097743538114
2024-02-06 00:00:00,104168.61242964424,1,45898.235352312775
2024-02-06 04:00:00,104108.9802670376,1,45870.63578258168
2024-02-06 08:00:00,104442.06927448833,1,46024.79945677939
2024-02-06 12:00:00,105057.42802996136,1,46309.606113773254
2024-02-06 16:00:00,104771.33169482436,1,46177.19207064174
2024-02-06 20:00:00,105282.13805579222,1,46413.6087149887
2024-02-07 00:00:00,101626.80470934123,1,44721.80980688567
2024-02-07 04:00:00,102311.15804461694,0,45126.48699435802
2024-02-07 08:00:00,102311.15804461694,0,45073.523984804866
2024-02-07 12:00:00,102311.15804461694,0,44896.633249728286
2024-02-07 16:00:00,102311.15804461694,0,45517.15024540284
2024-02-07 20:00:00,102311.15804461694,1,46962.84842074371
2024-02-08 00:00:00,102594.57227897365,1,47099.78815576131
2024-02-08 04:00:00,103235.2360823283,1,47409.34329037157
2024-02-08 08:00:00,103346.3256138078,1,47463.01939114527
