datetime,equity,position,close
2024-02-01 02:00:00,100000.0,0,42460.82880634878
2024-02-01 04:00:00,100000.0,0,42522.516948193006
2024-02-01 06:00:00,100000.0,0,42531.82129699984
2024-02-01 08:00:00,100000.0,0,42575.97156585809
2024-02-01 10:00:00,100000.0,0,42603.688236092145
2024-02-01 12:00:00,100000.0,0,42573.100779873814
2024-02-01 14:00:00,100000.0,0,42599.12746410149
2024-02-01 16:00:00,100000.0,0,42583.9140062868
2024-02-01 18:00:00,100000.0,0,42568.42767634074
2024-02-01 20:00:00,100000.0,0,42573.09352220617
2024-02-01 22:00:00,100000.0,0,42499.812335087125
2024-02-02 00:00:00,100000.0,0,42638.49025643129
2024-02-02 02:00:00,100000.0,0,42919.115121584575
2024-02-02 04:00:00,100000.0,0,43079.14925376146
2024-02-02 06:00:00,100000.0,0,43312.94695077659
2024-02-02 08:00:00,100000.0,0,44045.881938974024
2024-02-02 10:00:00,100000.0,0,43337.47298865586
2024-02-02 12:00:00,100000.0,0,43113.322494702996
2024-02-02 14:00:00,100000.0,0,43474.82984443904
2024-02-02 16:00:00,100000.0,0,43322.614954920515
2024-02-02 18:00:00,100000.0,0,43546.41163932748
2024-02-02 20:00:00,100000.0,0,43654.99332182309
2024-02-02 22:00:00,100000.0,0,43467.79417643681
2024-02-03 00:00:00,100000.0,0,43676.34610751483
2024-02-03 02:00:00,100000.0,0,43590.75820947185
2024-02-03 04:00:00,100000.0,0,43529.431514545024
2024-02-03 06:00:00,100000.0,0,43723.098512288525
2024-02-03 08:00:00,100000.0,0,43784.18974701821
2024-02-03 10:00:00,100000.0,0,43715.49352132073
2024-02-03 12:00:00,100000.0,0,43791.10622784542
2024-02-03 14:00:00,100000.0,0,43809.43896138685
2024-02-03 16:00:00,100000.0,0,43870.78918833624
2024-02-03 18:00:00,100000.0,0,44353.63296027139
2024-02-03 20:00:00,100000.0,0,44279.18395002322
2024-02-03 22:00:00,100000.0,0,44147.741232045904
2024-02-04 00:00:00,100000.0,0,45914.425436926635
2024-02-04 02:00:00,100000.0,-1,45502.67039424981
2024-02-04 04:00:00,99889.49926807954,-1,45555.59753512245
2024-02-04 06:00:00,99519.57530864379,-1,45732.78204035551
2024-02-04 08:00:00,100827.41546557157,-1,45106.35867626026
2024-02-04 10:00:00,103601.75180955027,0,43686.51425944175
2024-02-04 12:00:00,103601.75180955027,0,43049.21902477849
2024-02-04 14:00:00,103601.75180955027,0,43897.12712054717
2024-02-04 16:00:00,103601.75180955027,0,43633.91248801509
2024-02-04 18:00:00,103601.75180955027,0,43373.83640133993
2024-02-04 20:00:00,103601.75180955027,0,44574.09561997145
2024-02-04 22:00:00,103601.75180955027,0,44975.44380427704
2024-02-05 00:00:00,103601.75180955027,0,42081.21117316419
2024-02-05 02:00:00,103601.75180955027,1,42505.968088145266
2024-02-05 04:00:00,106832.05223127789,0,43986.06969010337
2024-02-05 06:00:00,106832.05223127789,0,42924.15754729766
2024-02-05 08:00:00,106832.05223127789,0,44298.607707214076
2024-02-05 10:00:00,106832.05223127789,0,43356.93769142815
2024-02-05 12:00:00,106832.05223127789,0,43545.615563318475
2024-02-05 14:00:00,106832.05223127789,0,43370.82471584906
2024-02-05 16:00:00,106832.05223127789,0,43491.03795770545
2024-02-05 18:00:00,106832.05223127789,0,45451.980773801384
2024-02-05 20:00:00,106832.05223127789,0,46634.68037496654
2024-02-05 22:00:00,106832.05223127789,-1,45701.427122951325
2024-02-06 00:00:00,109551.84898798302,0,44385.29234829767
2024-02-06 02:00:00,109551.84898798302,0,42609.68270141863
2024-02-06 04:00:00,109551.84898798302,0,42482.3934536746
2024-02-06 06:00:00,109551.84898798302,0,42576.834094961196
2024-02-06 08:00:00,109551.84898798302,0,43146.34262796241
2024-02-06 10:00:00,109551.84898798302,0,43234.07259313088
2024-02-06 12:00:00,109551.84898798302,0,44910.850477234606
2024-02-06 14:00:00,109551.84898798302,0,43099.141611209176
