entry_date,exit_date,direction,entry_price,exit_price,pnl_pct,pnl_dollar,bars_held,exit_reason
2024-02-03 20:00:00,2024-02-03 22:00:00,SHORT,44279.18395002322,44147.741232045904,0.0968,92.01,1,signal
2024-02-04 02:00:00,2024-02-04 08:00:00,SHORT,45502.67039424981,45106.35867626026,0.671,638.0,3,signal
2024-02-05 02:00:00,2024-02-05 04:00:00,LONG,42505.968088145266,43986.06969010337,3.2821,3140.76,1,signal
2024-02-05 22:00:00,2024-02-06 00:00:00,SHORT,45701.427122951325,44385.29234829767,2.6799,2644.41,1,signal
2024-02-09 14:00:00,2024-02-09 16:00:00,SHORT,48771.48335381616,48378.34848263743,0.6061,613.28,1,signal
2024-02-10 06:00:00,2024-02-10 08:00:00,SHORT,49479.769719874865,49546.19910408574,-0.3343,-340.18,1,signal
2024-02-10 20:00:00,2024-02-10 22:00:00,SHORT,49754.18552597084,49280.61830889332,0.7518,762.71,1,signal
2024-02-11 04:00:00,2024-02-11 06:00:00,SHORT,51488.930060617306,50042.88048722955,2.6085,2665.16,1,signal
2024-02-13 08:00:00,2024-02-13 12:00:00,SHORT,51712.76720819369,52199.1294866207,-1.1405,-1196.14,2,stop_loss
2024-02-13 14:00:00,2024-02-13 20:00:00,SHORT,52679.712961465695,51940.153486319905,1.2039,1246.85,3,signal
2024-02-16 14:00:00,2024-02-16 18:00:00,SHORT,53808.186940117455,53761.16757087206,-0.1126,-117.97,2,signal
2024-02-18 02:00:00,2024-02-18 04:00:00,SHORT,54559.69658135703,53942.70314460912,0.9309,974.06,1,signal
2024-02-18 08:00:00,2024-02-18 10:00:00,SHORT,53646.79035371721,53519.99817506892,0.0363,38.37,1,signal
2024-02-20 16:00:00,2024-02-20 18:00:00,SHORT,55307.732745418936,55484.49084949332,-0.5196,-548.7,1,signal
2024-02-20 20:00:00,2024-02-21 00:00:00,SHORT,55610.65570185241,54660.59195108654,1.5084,1585.08,2,signal
2024-02-21 12:00:00,2024-02-21 18:00:00,SHORT,56787.9249447651,57254.57689000457,-1.0217,-1089.06,3,signal
2024-02-22 02:00:00,2024-02-22 04:00:00,LONG,56230.63688652825,55022.32302331159,-2.3489,-2479.29,1,signal
2024-02-22 08:00:00,2024-02-22 12:00:00,LONG,45350.97573323695,41914.47800190412,-7.7776,-8010.64,2,stop_loss
2024-02-22 14:00:00,2024-02-22 18:00:00,LONG,39063.2097105919,46436.80558842056,18.6761,17852.03,2,signal
2024-02-24 14:00:00,2024-02-24 16:00:00,LONG,54646.13551424586,56771.44277990314,3.6892,4152.11,1,signal
2024-02-27 04:00:00,2024-02-27 08:00:00,SHORT,59980.95241921892,60637.868203426384,-1.2952,-1511.36,2,stop_loss
2024-02-27 10:00:00,2024-02-27 12:00:00,SHORT,60211.091152464214,59477.670244192246,1.0181,1171.36,1,signal
2024-02-29 04:00:00,2024-02-29 06:00:00,SHORT,60515.81441859122,60888.66412945576,-0.8161,-949.51,1,stop_loss
2024-03-01 04:00:00,2024-03-01 06:00:00,LONG,59469.05960666658,59232.44533666444,-0.5979,-689.15,1,signal
2024-03-01 10:00:00,2024-03-01 12:00:00,SHORT,62840.186594183964,64601.53155845947,-3.0029,-3448.1,1,stop_loss
2024-03-01 14:00:00,2024-03-01 16:00:00,SHORT,60209.37546360129,59055.423231001725,1.7166,1911.16,1,signal
2024-03-03 20:00:00,2024-03-03 22:00:00,SHORT,61960.94572177376,62031.48934199417,-0.3139,-355.13,1,signal
2024-03-04 02:00:00,2024-03-04 08:00:00,SHORT,62863.292072393255,60897.57236941894,2.927,3302.05,3,signal
2024-03-04 10:00:00,2024-03-04 12:00:00,LONG,61159.75834635782,60691.56267058938,-0.9655,-1119.55,1,signal
2024-03-04 14:00:00,2024-03-04 16:00:00,LONG,61031.37981636041,61975.07258442598,1.3462,1546.67,1,signal
2024-03-05 16:00:00,2024-03-05 20:00:00,SHORT,64402.5205499565,63975.614481492856,0.4629,538.58,2,signal
2024-03-08 02:00:00,2024-03-08 04:00:00,SHORT,65170.29841447587,65565.27077741356,-0.8061,-943.45,1,stop_loss
2024-03-08 06:00:00,2024-03-08 10:00:00,SHORT,65724.52122588317,65419.70523078509,0.2638,305.91,2,signal
2024-03-10 18:00:00,2024-03-11 00:00:00,SHORT,66472.07063356902,67101.5816488416,-1.147,-1335.78,3,stop_loss
2024-03-11 02:00:00,2024-03-11 04:00:00,LONG,65519.386245310336,66232.67517268493,0.8887,1021.92,1,signal
2024-03-11 08:00:00,2024-03-11 12:00:00,SHORT,72020.46421295067,67800.47215518024,5.6594,6562.97,2,signal
2024-03-12 02:00:00,2024-03-12 06:00:00,SHORT,103553.49468407324,99096.81612878658,4.1037,5014.77,2,signal
2024-03-12 08:00:00,2024-03-12 10:00:00,SHORT,26938.11913744173,42294.36673158116,-57.2056,-72630.52,1,signal
2024-03-12 10:00:00,2024-03-12 12:00:00,LONG,42294.36673158116,35617.83468242927,-15.9859,-9266.19,1,signal
2024-03-14 18:00:00,2024-03-14 22:00:00,SHORT,69767.18533422689,69580.92296398088,0.067,32.93,2,signal
2024-03-17 02:00:00,2024-03-17 04:00:00,LONG,68735.71139952743,68778.6181053718,-0.1376,-67.68,1,signal
2024-03-17 12:00:00,2024-03-17 16:00:00,SHORT,69539.08879676404,69536.94953781432,-0.1969,-96.75,2,signal
2024-03-17 18:00:00,2024-03-17 22:00:00,SHORT,69702.5762582115,69905.81422807022,-0.4916,-241.06,2,signal
2024-03-18 00:00:00,2024-03-18 06:00:00,SHORT,70218.44590234579,70066.64733588474,0.0162,7.9,3,signal
2024-03-18 20:00:00,2024-03-19 00:00:00,LONG,68298.87355783823,68016.90264002385,-0.6128,-299.17,2,signal
2024-03-19 02:00:00,2024-03-19 06:00:00,LONG,67480.50586696985,67825.27205123943,0.3109,150.89,2,signal
2024-03-20 14:00:00,2024-03-20 20:00:00,SHORT,69475.6533213615,69304.37317402603,0.0465,22.65,3,signal
2024-03-21 20:00:00,2024-03-22 00:00:00,LONG,65924.23867965298,66177.40283531255,0.184,89.61,2,signal
2024-03-25 00:00:00,2024-03-25 06:00:00,LONG,65568.74678822554,65435.9108455323,-0.4026,-196.39,3,signal
2024-03-27 02:00:00,2024-03-27 06:00:00,SHORT,66175.64521511782,65827.51023935855,0.3261,158.46,2,signal
2024-03-27 10:00:00,2024-03-27 12:00:00,SHORT,66590.5211416657,66966.00332884437,-0.7639,-372.9,1,stop_loss
2024-03-27 14:00:00,2024-03-27 18:00:00,SHORT,67013.58313703572,65732.89736297204,1.7111,828.01,2,signal
2024-03-30 02:00:00,2024-03-30 04:00:00,LONG,65732.85892966967,65094.26714839525,-1.1715,-575.16,1,stop_loss
2024-03-30 08:00:00,2024-03-30 12:00:00,LONG,60247.43197810952,63406.03173422257,5.0427,2452.34,2,signal
2024-04-03 02:00:00,2024-04-03 10:00:00,LONG,65849.83283485005,65744.6292340966,-0.3598,-183.34,4,signal
2024-04-04 16:00:00,2024-04-04 18:00:00,LONG,65448.097937255916,65583.67789925926,0.0072,3.63,1,signal
2024-04-05 02:00:00,2024-04-05 04:00:00,SHORT,65156.37255860073,65286.48444903661,-0.3997,-203.0,1,signal
2024-04-05 04:00:00,2024-04-05 06:00:00,LONG,65286.48444903661,65585.66399078471,0.2583,130.67,1,signal
2024-04-05 12:00:00,2024-04-05 20:00:00,LONG,64685.93686064141,65259.10897963773,0.6861,347.99,4,signal
2024-04-08 08:00:00,2024-04-08 10:00:00,LONG,64083.19665860044,64609.01586853665,0.6205,316.79,1,signal
2024-04-08 20:00:00,2024-04-08 22:00:00,LONG,63213.98702592579,64156.51015650144,1.291,662.97,1,signal
2024-04-09 02:00:00,2024-04-09 04:00:00,SHORT,59840.902014364394,64971.38151146562,-8.7735,-4569.66,1,stop_loss
2024-04-09 10:00:00,2024-04-09 12:00:00,LONG,53502.61140232623,55092.23873857891,2.7711,1320.21,1,signal
2024-04-09 20:00:00,2024-04-09 22:00:00,LONG,55782.31605899823,41732.77533122626,-25.3864,-12412.92,1,signal
2024-04-12 18:00:00,2024-04-12 22:00:00,LONG,61180.447654119744,62529.92955614798,2.0057,744.2,2,signal
2024-04-13 02:00:00,2024-04-13 04:00:00,SHORT,63864.59043326081,64394.37859023676,-1.0295,-389.28,1,signal
2024-04-13 06:00:00,2024-04-13 10:00:00,SHORT,65575.05591101892,64199.50696116296,1.8977,710.51,2,signal
2024-04-15 20:00:00,2024-04-16 00:00:00,SHORT,62362.41772915039,62050.742696913294,0.2998,114.26,2,signal
2024-04-17 02:00:00,2024-04-17 04:00:00,LONG,60009.01099001209,59595.892950399575,-0.8884,-339.07,1,stop_loss
2024-04-17 06:00:00,2024-04-17 08:00:00,LONG,58102.64268672043,57443.33538886375,-1.3347,-505.03,1,stop_loss
2024-04-17 10:00:00,2024-04-17 16:00:00,LONG,56230.89198791942,59451.09056404523,5.5267,2068.25,3,signal
2024-04-20 20:00:00,2024-04-21 00:00:00,LONG,59205.551716035356,60679.7049433914,2.2899,901.93,2,signal
2024-04-22 00:00:00,2024-04-22 04:00:00,LONG,57500.11947762937,59977.422908391156,4.1083,1653.37,2,signal
2024-04-22 20:00:00,2024-04-22 22:00:00,SHORT,62494.14507420867,60976.69022915114,2.2282,931.7,1,signal
2024-04-24 14:00:00,2024-04-24 16:00:00,LONG,59911.00119978643,60718.27882805423,1.1475,489.97,1,signal
2024-04-24 20:00:00,2024-04-24 22:00:00,SHORT,60026.83257075464,59879.98421689789,0.0446,19.27,1,signal
2024-04-26 20:00:00,2024-04-26 22:00:00,LONG,58452.22093691837,58287.40935665758,-0.482,-208.13,1,signal
2024-04-27 02:00:00,2024-04-27 04:00:00,LONG,58128.24541340035,57904.53785576038,-0.5849,-251.4,1,signal
2024-04-30 00:00:00,2024-04-30 02:00:00,LONG,54238.85662731533,53744.02023200622,-1.1123,-474.71,1,stop_loss
2024-04-30 04:00:00,2024-04-30 08:00:00,LONG,41796.86969883923,48937.968578878834,16.8852,7141.83,2,signal
2024-05-04 02:00:00,2024-05-04 08:00:00,SHORT,57291.75452773871,57454.12154077136,-0.4834,-237.26,3,signal
2024-05-05 06:00:00,2024-05-05 10:00:00,SHORT,59098.72726329083,58276.8493126217,1.1907,581.72,2,signal
2024-05-08 22:00:00,2024-05-09 00:00:00,SHORT,59388.425936443484,59360.761775826766,-0.1534,-75.8,1,signal
2024-05-09 04:00:00,2024-05-09 08:00:00,SHORT,59672.428497682835,59765.53288071039,-0.356,-175.65,2,signal
2024-05-10 06:00:00,2024-05-10 08:00:00,SHORT,60331.171748835026,60456.41520702924,-0.4076,-200.41,1,signal
2024-05-10 14:00:00,2024-05-10 22:00:00,SHORT,61148.60843571521,61250.36254532851,-0.3664,-179.46,4,signal
2024-05-13 02:00:00,2024-05-13 04:00:00,SHORT,66447.36071317592,67296.97118606512,-1.4786,-722.94,1,stop_loss
2024-05-13 06:00:00,2024-05-13 08:00:00,SHORT,66212.0810965229,66525.40332312646,-0.6732,-323.96,1,signal
2024-05-13 12:00:00,2024-05-13 14:00:00,SHORT,64255.87651486978,64965.966043103566,-1.3051,-624.02,1,signal
2024-05-16 14:00:00,2024-05-16 16:00:00,SHORT,65379.2817407406,65488.436084728826,-0.367,-173.28,1,signal
2024-05-18 22:00:00,2024-05-19 06:00:00,SHORT,66416.8450143423,66699.34455636072,-0.6253,-294.26,4,signal
2024-05-20 08:00:00,2024-05-20 14:00:00,SHORT,68320.95731261729,67599.60199120798,0.8558,400.33,3,signal
2024-05-23 00:00:00,2024-05-23 02:00:00,LONG,66654.37608338904,66660.18335051781,-0.1913,-90.21,1,signal
2024-05-23 10:00:00,2024-05-23 12:00:00,SHORT,67158.92332384223,66939.54940522039,0.1266,59.62,1,signal
2024-05-24 06:00:00,2024-05-24 08:00:00,LONG,67223.12030634639,67462.49550811076,0.1561,73.56,1,signal
2024-05-25 02:00:00,2024-05-25 04:00:00,LONG,67686.24440354564,68193.80866409399,0.5499,259.53,1,signal
2024-05-25 08:00:00,2024-05-25 10:00:00,SHORT,67448.00281341026,68958.51304964241,-2.4395,-1159.55,1,stop_loss
2024-05-25 12:00:00,2024-05-25 14:00:00,SHORT,67826.3007702606,69208.28696739454,-2.2375,-1036.94,1,signal
2024-05-25 20:00:00,2024-05-26 00:00:00,LONG,64395.54279781594,66700.22083371555,3.3789,1532.62,2,signal
2024-05-28 00:00:00,2024-05-28 02:00:00,SHORT,66825.01024777592,67276.52277871182,-0.8757,-410.57,1,stop_loss
2024-05-28 04:00:00,2024-05-28 08:00:00,SHORT,68069.79632742249,67129.63661561091,1.1812,548.35,2,signal
2024-05-29 06:00:00,2024-05-29 10:00:00,SHORT,69385.40389764811,68655.00351740846,0.8527,400.29,2,signal
