entry_date,exit_date,direction,entry_price,exit_price,pnl_pct,pnl_dollar,bars_held,exit_reason
2024-02-03 08:00:00,2024-02-07 04:00:00,LONG,43968.875349175396,45126.48699435802,2.4328,2311.16,23,signal
2024-02-07 20:00:00,2024-02-12 00:00:00,LONG,46962.84842074371,45895.371037532226,-2.473,-2399.25,25,stop_loss
2024-02-12 08:00:00,2024-02-12 12:00:00,SHORT,50121.521673466144,51093.124634643485,-2.1385,-2029.78,1,signal
2024-02-12 12:00:00,2024-02-12 16:00:00,LONG,51093.124634643485,48867.195109963934,-4.5566,-4229.0,1,stop_loss
2024-02-12 20:00:00,2024-02-14 16:00:00,LONG,49777.39608021954,51777.104515671635,3.8173,3396.27,11,signal
2024-02-15 08:00:00,2024-02-21 08:00:00,LONG,52756.93968112997,53489.61134379125,1.1888,1096.01,36,signal
2024-02-21 16:00:00,2024-02-26 08:00:00,LONG,56292.98619175111,58023.952517213,2.8749,2680.53,28,signal
2024-02-27 00:00:00,2024-02-28 04:00:00,LONG,59119.93769891929,57780.97253463073,-2.4648,-2356.59,7,stop_loss
2024-02-28 20:00:00,2024-03-10 20:00:00,LONG,60179.963210790425,65879.41170660256,9.2707,8672.33,66,signal
2024-03-12 00:00:00,2024-03-12 08:00:00,LONG,67571.0004210888,67356.55873923059,-0.5174,-526.59,2,signal
2024-03-13 04:00:00,2024-03-14 08:00:00,LONG,69154.09670697215,69010.98829474203,-0.4069,-412.17,7,signal
2024-03-14 20:00:00,2024-03-16 04:00:00,LONG,69581.47809488288,68804.08149941807,-1.3172,-1326.75,8,stop_loss
2024-03-17 04:00:00,2024-03-18 04:00:00,LONG,69605.51022018718,69020.19512363149,-1.0409,-1035.4,6,stop_loss
2024-03-18 08:00:00,2024-03-18 20:00:00,LONG,68759.36438162606,68502.62397642176,-0.5734,-565.64,3,signal
2024-03-18 20:00:00,2024-03-21 00:00:00,SHORT,68502.62397642176,67331.86745452893,1.5091,1480.57,13,signal
2024-03-21 04:00:00,2024-03-21 08:00:00,SHORT,65642.07261731706,66481.88336904974,-1.4794,-1474.79,1,stop_loss
2024-03-21 12:00:00,2024-03-22 00:00:00,SHORT,65804.21630629984,67124.6989392436,-2.2067,-2169.07,3,stop_loss
