datetime,open,high,low,close,volume
2024-02-01 00:00:00,42525.90095177913,42555.10508950522,42486.146870681965,42541.69258586747,6949.463465555929
2024-02-01 04:00:00,42541.69258586747,42549.80495978096,42534.16107957843,42547.56659612365,3568.8148168754774
2024-02-01 08:00:00,42547.56659612365,42594.26081857818,42458.25006478195,42526.993987649555,3659.540943032094
2024-02-01 12:00:00,42526.993987649555,42538.10241911215,42518.932951630675,42523.89704531728,3329.519966203723
2024-02-01 16:00:00,42523.89704531728,42585.4792339988,42489.72517065488,42509.20596129212,2574.4745838011613
2024-02-01 20:00:00,42509.20596129212,42572.085390168446,42420.68031011758,42499.995934515166,5627.67002867732
2024-02-02 00:00:00,42367.402026454336,42623.226837591166,42329.244404197554,42512.97090883915,17162.046355122984
2024-02-02 04:00:00,42512.97090883915,43181.63221502454,42442.8372792238,43009.696417170184,21137.755764383837
2024-02-02 08:00:00,43009.696417170184,43101.61585507796,42504.54798414801,42508.80224062906,8899.03238361603
2024-02-02 12:00:00,42508.80224062906,43522.42999198019,42434.17141503153,43385.712968303764,12658.997161188188
2024-02-02 16:00:00,43385.712968303764,43538.23384649358,43340.73707980733,43538.23384649358,15495.318785142512
2024-02-02 20:00:00,43538.23384649358,43538.23384649358,43446.23713608131,43470.26218487262,21907.400482304303
2024-02-03 00:00:00,43488.044874926614,43723.92199233933,43433.64129894017,43671.519886977985,7864.122487372415
2024-02-03 04:00:00,43671.519886977985,43932.50846162746,43662.83289947783,43861.038055721074,7626.980679306794
2024-02-03 08:00:00,43861.038055721074,44083.35128082046,43794.89125055228,43968.875349175396,6194.917563681754
2024-02-03 12:00:00,43968.875349175396,44190.70046046621,43962.262761815495,44126.218079347214,7639.359728069936
2024-02-03 16:00:00,44126.218079347214,44618.56660444342,43841.071230901594,44618.56660444342,6318.942493403121
2024-02-03 20:00:00,44618.56660444342,44618.56660444342,43937.85280482863,44145.390769576145,10022.680172518254
2024-02-04 00:00:00,44249.83650597057,44252.63340055751,44223.77328875331,44227.45624928306,8608.880033224259
2024-02-04 04:00:00,44227.45624928306,44603.33346401509,44223.77328875331,44566.959366270115,10571.110161518933
2024-02-04 08:00:00,44566.959366270115,44638.45580089825,44488.93906558069,44608.771392300405,6015.91171378086
2024-02-04 12:00:00,44608.771392300405,44806.22398400625,44555.55786182848,44742.21772974594,6764.53800930739
2024-02-04 16:00:00,44742.21772974594,44786.18841965463,44618.84383758945,44700.83397563046,9683.2138205932
2024-02-04 20:00:00,44700.83397563046,45072.96668196655,44560.82936576431,45066.508405518274,10931.796556387972
2024-02-05 00:00:00,45111.92500703394,45988.72386375282,44869.72619397812,45803.69961601739,10535.153974276336
2024-02-05 04:00:00,45803.69961601739,45975.49269864255,45355.41109464379,45485.82445149483,7724.578483327018
2024-02-05 08:00:00,45485.82445149483,45487.78419313612,45198.075870944995,45259.192475185904,20489.38170841696
2024-02-05 12:00:00,45259.192475185904,46160.27488718743,45195.69036519235,45972.32361991248,9819.36961884167
2024-02-05 16:00:00,45972.32361991248,46199.80947881098,45908.87860643844,46199.80947881098,7784.526705799116
2024-02-05 20:00:00,46199.80947881098,46199.80947881098,45874.22390692955,45943.097743538114,16759.430416569216
2024-02-06 00:00:00,45855.36392866638,45904.45182170844,45813.90847257639,45898.235352312775,6205.472557703603
2024-02-06 04:00:00,45898.235352312775,45900.305582924244,45857.320395824485,45870.63578258168,4609.69224973899
2024-02-06 08:00:00,45870.63578258168,46045.105502605045,45835.14669925424,46024.79945677939,5037.218864758738
2024-02-06 12:00:00,46024.79945677939,46390.780516729275,45954.96566433279,46309.606113773254,10220.44040512619
2024-02-06 16:00:00,46309.606113773254,46389.314714824184,46087.06177981007,46177.19207064174,8733.664494943969
2024-02-06 20:00:00,46177.19207064174,46521.02102264953,46134.48817080235,46413.6087149887,8161.792051809814
2024-02-07 00:00:00,46486.30271859523,46900.25452474955,44721.80980688567,44721.80980688567,11001.013071820304
2024-02-07 04:00:00,44721.80980688567,45268.90948590982,44721.80980688567,45126.48699435802,4823.472744518355
2024-02-07 08:00:00,45126.48699435802,45138.528976432644,45073.523984804866,45073.523984804866,10892.778667696744
2024-02-07 12:00:00,45073.523984804866,45142.00030031792,44896.633249728286,44896.633249728286,6904.579743769904
2024-02-07 16:00:00,44896.633249728286,45614.918049188585,44896.633249728286,45517.15024540284,12740.668930754533
2024-02-07 20:00:00,45517.15024540284,47112.040344393405,45517.15024540284,46962.84842074371,7380.009793956498
2024-02-08 00:00:00,46967.09289765191,47130.8372003785,46964.99064311383,47099.78815576131,11832.376125224637
2024-02-08 04:00:00,47099.78815576131,47543.54842189416,46830.55233652461,47409.34329037157,6394.065394818983
2024-02-08 08:00:00,47409.34329037157,47509.940232783105,47353.56976750674,47463.01939114527,13504.929310984175
2024-02-08 12:00:00,47463.01939114527,47540.2314532368,47395.50194970091,47490.78974922261,10881.650247327409
2024-02-08 16:00:00,47490.78974922261,47600.10635820608,47353.40552863833,47573.743273203036,12625.526294115964
2024-02-08 20:00:00,47573.743273203036,47704.55844490403,47517.28888627704,47660.40170570616,5098.191390958304
2024-02-09 00:00:00,47640.42782422852,49206.13774451958,47453.574094958436,49206.13774451958,13757.834066128995
2024-02-09 04:00:00,49206.13774451958,49206.13774451958,48896.54287348211,48963.1672243866,18166.82595672412
2024-02-09 08:00:00,48963.1672243866,48963.1672243866,47810.50204596114,48129.1150897229,20217.233431271394
